,,,,Pakistan Website Defacement Data 2006-2020,,,,,
"Total notifications: 1,351 of which 568 single ip and 783 mass defacements",,,,,,,,,
,,,,,,,,,
Legend:,,,,,,,,,
H - Homepage defacement,,,,,,,,,
M - Mass defacement (click to view all defacements of this IP),,,,,,,,,
R - Redefacement (click to view all defacements of this site) ,,,,,,,,,
L - IP address location,,,,,,,,,
 - Special defacement (special defacements are important websites),,,,,,,,,
,,,,,,,,,
Date,Notifier,H,M,R,L,,Domain,OS,View
8/14/2019,404PRESSI,,M,R,,,fd.sindh.gov.pk/india.php,Linux,mirror
8/14/2019,D4RKNE55,,,R,,,irrigation.sindh.gov.pk/back.html,Linux,mirror
8/14/2019,D4RKNE55,,M,,,,cm.sindh.gov.pk/back.html,Linux,mirror
8/14/2019,D4RKNE55,,M,,,,governor.sindh.gov.pk/back.html,Linux,mirror
8/14/2019,D4RKNE55,,M,R,,,sgacd.sindh.gov.pk/back.html,Linux,mirror
8/14/2019,D4RKNE55,,M,,,,pnd.sindh.gov.pk/back.html,Linux,mirror
8/14/2019,D4RKNE55,,M,R,,,swd.sindh.gov.pk/back.html,Linux,mirror
8/14/2019,D4RKNE55,,M,,,,information.sindh.gov.pk/back....,Linux,mirror
8/14/2019,D4RKNE55,,M,,,,scsw.sindh.gov.pk/back.html,Linux,mirror
8/14/2019,D4RKNE55,,M,,,,agri.sindh.gov.pk/back.html,Linux,mirror
8/6/2019,xOOmxOOm1,,M,,,,www.cmkp.gov.pk/pwned.html,Linux,mirror
7/24/2019,M3sicth,,,R,,,www.lesco.gov.pk/Relaz.html,Win 2008,mirror
7/15/2019,cyber_hunter,,,R,,,www.bahawalpur.gov.pk/r00t.txt,Linux,mirror
6/29/2019,cyber_hunter,,,R,,,lyallpurmuseum.gov.pk/r00t.txt,Linux,mirror
6/20/2019,Panataran,H,,R,,,epw.gov.pk,Linux,mirror
6/17/2019,h0d3_g4n,,M,,,,csa.gov.pk/raiz.html,Unknown,mirror
2/16/2019,mikewaals,H,,,,,wapdahealthcare.gov.pk,Linux,mirror
2/5/2019,Abdellah Elmaghribi,H,,,,,customspreventivelahore.gov.pk,Linux,mirror
1/30/2019,Royal Battler BD,H,,R,,,www.ncsw.gov.pk,Linux,mirror
12/18/2018,Gang Dz,,,,,,www.fgpc.gov.pk/dz.php,Linux,mirror
11/27/2018,5H311_1NJ3C706,,,R,,,abbottabad.financekpp.gov.pk/cwd/,Linux,mirror
11/27/2018,5H311_1NJ3C706,,M,R,,,bannu.financekpp.gov.pk/cwd/,Linux,mirror
11/27/2018,5H311_1NJ3C706,,M,R,,,batagram.financekpp.gov.pk/cwd/,Linux,mirror
11/27/2018,5H311_1NJ3C706,,M,R,,,buner.financekpp.gov.pk/cwd/,Linux,mirror
11/27/2018,5H311_1NJ3C706,,,R,,,charsadda.financekpp.gov.pk/cwd/,Linux,mirror
11/27/2018,5H311_1NJ3C706,,M,R,,,chitral.financekpp.gov.pk/cwd/,Linux,mirror
11/27/2018,5H311_1NJ3C706,,M,R,,,dikhan.financekpp.gov.pk/cwd/,Linux,mirror
11/27/2018,5H311_1NJ3C706,,M,R,,,hangu.financekpp.gov.pk/cwd/,Linux,mirror
11/27/2018,5H311_1NJ3C706,,M,R,,,haripur.financekpp.gov.pk/cwd/,Linux,mirror
11/27/2018,5H311_1NJ3C706,,M,R,,,kohistan.financekpp.gov.pk/cwd/,Linux,mirror
11/4/2018,Ramil Feyziyev,,M,R,,,www.becs.gov.pk/heraklesramil.php,Linux,mirror
10/28/2018,ErrOr SquaD,,,R,,,www.pdma.gov.pk/king.txt,Linux,mirror
10/24/2018,Indonesia To World Team,,,R,,,fata.gov.pk/0.html,FreeBSD,mirror
10/21/2018,cyber_hunter,,,,,,pcsir-khi.gov.pk/r00t.txt,Linux,mirror
10/19/2018,Jiwa Kegelapan Team,,,,,,dtt.gsp.gov.pk/x.html,Linux,mirror
10/13/2018,TorjanX,,,R,,,www.fto.gov.pk/NewsnEvents.php,Unknown,mirror
10/10/2018,Cod3.Gr4y,,,,,,fc.gov.pk/G.htm,Linux,mirror
10/8/2018,Hunter Bajwa,,M,,,,track.cadd.gov.pk/1337.php,Linux,mirror
10/8/2018,Hunter Bajwa,,M,,,,erp.fde.gov.pk/1337.php,Linux,mirror
10/8/2018,Hunter Bajwa,,M,,,,fgpc.cadd.gov.pk/1337.php,Linux,mirror
10/8/2018,Hunter Bajwa,,M,,,,grievancecell.fde.gov.pk/1337.php,Linux,mirror
10/8/2018,Hunter Bajwa,,M,,,,mos.cadd.gov.pk/1337.php,Linux,mirror
10/8/2018,Hunter Bajwa,,,,,,ncsw.cadd.gov.pk/1337.php,Linux,mirror
10/8/2018,Hunter Bajwa,,M,,,,new.fde.gov.pk/1337.php,Linux,mirror
10/8/2018,Hunter Bajwa,,M,,,,projects.cadd.gov.pk/1337.php,Linux,mirror
