S No.,Date,Notifier,H,M,R,L,Domain,OS,View
66,9/15/2020,Bla3k_D3vil,,M,,,medicure.com.pk/a.html,Win 2012,mirror
67,9/15/2020,Bla3k_D3vil,,M,,,yecheez.pk/a.html,Win 2012,mirror
68,9/15/2020,Bla3k_D3vil,,M,,,itbrand.pk/a.html,Win 2012,mirror
69,9/15/2020,Bla3k_D3vil,,M,,,maseck.com.pk/a.html,Win 2012,mirror
70,9/15/2020,Bla3k_D3vil,,M,,,humancarelab.com.pk/a.html,Win 2012,mirror
71,9/15/2020,Bla3k_D3vil,,M,R,,lsps.edu.pk/a.html,Win 2012,mirror
72,9/15/2020,Bla3k_D3vil,,M,,,vitallab.com.pk/a.html,Win 2012,mirror
73,9/15/2020,Bla3k_D3vil,,M,,,pisd.org.pk/a.html,Win 2012,mirror
74,9/15/2020,Bla3k_D3vil,,M,,,skytravels.com.pk/a.html,Win 2012,mirror
75,9/15/2020,Bla3k_D3vil,,M,,,kutab.com.pk/a.html,Win 2012,mirror
76,9/15/2020,Bla3k_D3vil,,M,,,betahomes.com.pk/a.html,Win 2012,mirror
77,9/15/2020,Bla3k_D3vil,,M,,,lahorecitycollege.edu.pk/a.html,Win 2012,mirror
78,9/15/2020,Bla3k_D3vil,,M,,,kidszone.com.pk/a.html,Win 2012,mirror
79,9/15/2020,Bla3k_D3vil,,M,R,,marhaba.com.pk/a.html,Win 2012,mirror
80,9/15/2020,Bla3k_D3vil,,M,,,ngl.com.pk/a.html,Win 2012,mirror
81,9/15/2020,Bla3k_D3vil,,M,,,minhajlab.com.pk/a.html,Win 2012,mirror
82,9/15/2020,Bla3k_D3vil,,M,,,khaleejnews.pk/a.html,Win 2012,mirror
83,9/15/2020,Bla3k_D3vil,,M,,,insidejob.pk/a.html,Win 2012,mirror
84,9/15/2020,Bla3k_D3vil,,M,,,iamgc.com.pk/a.html,Win 2012,mirror
85,9/15/2020,Bla3k_D3vil,,M,,,ibla.com.pk/a.html,Win 2012,mirror
86,9/15/2020,Bla3k_D3vil,,M,,,humanrelief.org.pk/a.html,Win 2012,mirror
87,9/15/2020,Bla3k_D3vil,,M,,,impactinternational.com.pk/a.html,Win 2012,mirror
88,9/15/2020,Bla3k_D3vil,,M,,,jeeto.pk/a.html,Win 2012,mirror
89,9/15/2020,Bla3k_D3vil,,M,,,paigam.pk/a.html,Win 2012,mirror
90,9/15/2020,Bla3k_D3vil,,M,,,iac.net.pk/a.html,Win 2012,mirror
91,9/15/2020,Bla3k_D3vil,,M,,,houseofconsultants.com.pk/a.html,Win 2012,mirror
92,9/15/2020,Bla3k_D3vil,,M,,,hmlab.com.pk/a.html,Win 2012,mirror
93,9/15/2020,Bla3k_D3vil,,M,,,smspoint.pk/a.html,Win 2012,mirror
94,9/15/2020,Bla3k_D3vil,,M,R,,olympiagroup.com.pk/a.html,Win 2012,mirror
95,9/15/2020,Bla3k_D3vil,,M,,,smartcrockery.pk/a.html,Win 2012,mirror
96,9/15/2020,Bla3k_D3vil,,M,R,,cpi.org.pk/a.html,Win 2012,mirror
97,9/15/2020,Bla3k_D3vil,,M,R,,nextstep.pk/a.html,Win 2012,mirror
98,9/15/2020,Bla3k_D3vil,,M,,,everestmarketing.pk/a.html,Win 2012,mirror
99,9/15/2020,Bla3k_D3vil,,M,,,fatimahospital.com.pk/a.html,Win 2012,mirror
100,9/15/2020,Bla3k_D3vil,,M,,,leslab.com.pk/a.html,Win 2012,mirror
101,9/15/2020,Bla3k_D3vil,,M,,,excelsior.com.pk/a.html,Win 2012,mirror
102,9/15/2020,Bla3k_D3vil,,M,,,eventpoint.pk/a.html,Win 2012,mirror
103,9/15/2020,Bla3k_D3vil,,M,R,,skyroutingtravels.com.pk/a.html,Win 2012,mirror
104,9/15/2020,Bla3k_D3vil,,M,,,tevta.gop.pk/a.html,Win 2012,mirror
105,9/15/2020,Bla3k_D3vil,,M,R,,travelex.com.pk/a.html,Win 2012,mirror
106,9/15/2020,Bla3k_D3vil,,M,,,eataroo.pk/a.html,Win 2012,mirror
107,9/15/2020,Bla3k_D3vil,,M,,,cyberisk.com.pk/a.html,Win 2012,mirror
108,9/15/2020,Bla3k_D3vil,,M,,,spelts.com.pk/a.html,Win 2012,mirror
109,9/15/2020,Bla3k_D3vil,,M,,,epronic.com.pk/a.html,Win 2012,mirror
110,9/15/2020,Bla3k_D3vil,,M,,,dostonline.pk/a.html,Win 2012,mirror
111,9/15/2020,Bla3k_D3vil,,M,,,betapipes.com.pk/a.html,Win 2012,mirror
112,9/15/2020,Bla3k_D3vil,,M,R,,cwg.com.pk/a.html,Win 2012,mirror
113,9/15/2020,Bla3k_D3vil,,M,,,delser.com.pk/a.html,Win 2012,mirror
114,9/15/2020,Bla3k_D3vil,,M,,,iitp.org.pk/a.html,Win 2012,mirror
115,9/15/2020,Bla3k_D3vil,,M,,,corona.com.pk/a.html,Win 2012,mirror
116,9/15/2020,Bla3k_D3vil,,M,,,citiscience.pk/a.html,Win 2012,mirror
117,9/15/2020,Bla3k_D3vil,,M,,,constructioncostpakistan.pk/a....,Win 2012,mirror
118,9/15/2020,Bla3k_D3vil,,M,,,condomonline.pk/a.html,Win 2012,mirror
119,9/15/2020,Bla3k_D3vil,,M,,,conceptlab.pk/a.html,Win 2012,mirror
120,9/15/2020,Bla3k_D3vil,,M,,,cgpsc.edu.pk/a.html,Win 2012,mirror
121,9/15/2020,Bla3k_D3vil,,M,,,btsc.edu.pk/a.html,Win 2012,mirror
122,9/15/2020,Bla3k_D3vil,,M,,,citiheights.pk/a.html,Win 2012,mirror
123,9/15/2020,Bla3k_D3vil,,M,,,cmcengineering.com.pk/a.html,Win 2012,mirror
124,9/15/2020,Bla3k_D3vil,,M,,,breeo.com.pk/a.html,Win 2012,mirror
125,9/15/2020,Bla3k_D3vil,,M,,,chemtrade.com.pk/a.html,Win 2012,mirror
126,9/15/2020,Bla3k_D3vil,,M,,,ocl.com.pk/a.html,Win 2012,mirror
127,9/15/2020,Bla3k_D3vil,,M,,,everlucktravels.com.pk/a.html,Win 2012,mirror
128,9/15/2020,Bla3k_D3vil,,M,,,bosstechnologies.com.pk/a.html,Win 2012,mirror
